% Definitions and descriptions of IMOS moorings/stations sites.
%
% These information are used in impossible location QC test. 
% distanceKmPlusMinusThreshold overrules other thresholds.
%
% Format:
%
% name, nominalLongitude, nominalLatitude, longitudePlusMinusThreshold, latitudePlusMinusThreshold, distanceKmPlusMinusThreshold
%
CA01-02,-135.5,70.5,0.025,0.025,2.5
CA02-02,-132.9138167,70.89511667,0.025,0.025,2.5
CA03-02,-128.1336833,71.14993333,0.025,0.025,2.5
CA04-02,-133.77405,71.02225,0.025,0.025,2.5
CA05-02,-127.53565,71.28256667,0.025,0.025,2.5
CA06-02,-127.5475667,70.64993333,0.025,0.025,2.5
CA07-02,-133.8771667,71.16241667,0.025,0.025,2.5
CA08-02,-126.112,70.97305,0.025,0.025,2.5
CA03-03,-128.12615,71.15303333,0.025,0.025,2.5
CA04-03,-133.7232,71.08596667,0.025,0.025,2.5
CA05-03,-127.3749167,71.42041667,0.025,0.025,2.5
CA06-03,-127.2705,70.58873333,0.025,0.025,2.5
CA07-03,-133.898,71.14983333,0.025,0.025,2.5
CA08-03,-125.9642,71.0008,0.025,0.025,2.5
CA09-03,-137.5142667,70.20966667,0.025,0.025,2.5
CA10-03,-138.6737333,69.95511667,0.025,0.025,2.5
CA11-03,-138.6548167,70.57715,0.025,0.025,2.5
CA12-03,-134.2004667,71.42688333,0.025,0.025,2.5
CA13-03,-131.3637333,71.35593333,0.025,0.025,2.5
CA14-03,-128.0136167,71.79101667,0.025,0.025,2.5
CA15-03,-127.0239,71.5372,0.025,0.025,2.5
CA16-03,-126.4559,71.7981,0.025,0.025,2.5
CA18-03,-123.1006667,70.64266667,0.025,0.025,2.5
CA19-03,-128.0201667,70.83633333,0.025,0.025,2.5
CA20-03,-126.3548833,70.33911667,0.025,0.025,2.5
CA04-04,-133.7211833,71.08576667,0.025,0.025,2.5
CA05-04,-127.3962833,71.41913333,0.025,0.025,2.5
CA07-04,-133.8939167,71.14906667,0.025,0.025,2.5
CA15-04,-127.0243,71.53781667,0.025,0.025,2.5
CA18-04,-122.9883333,70.66566667,0.025,0.025,2.5
CA20-04,-126.3570167,70.33926667,0.025,0.025,2.5
M2-04,-142.35,79.91666667,0.025,0.025,2.5
CA04-05,-133.629185,71.080163,0.025,0.025,2.5
CA05-05,-127.536285,71.28059333,0.025,0.025,2.5
CA08-05,-126.0743817,71.00680732,0.025,0.025,2.5
CA18-05,-122.9883333,70.66566667,0.025,0.025,2.5
BA01-05,-71.198405,76.327015,0.025,0.025,2.5
BA02-05,-74.57497667,76.26762167,0.025,0.025,2.5
BA03-05,-77.40107,76.38375833,0.025,0.025,2.5
BA04-05,-74.97744833,75.25357833,0.025,0.025,2.5
AN01-05,-91.94371667,59.97782667,0.025,0.025,2.5
AN02-05,-91.523185,58.78206833,0.025,0.025,2.5
AN03-05,-77.92989833,55.407765,0.025,0.025,2.5
AN04-05,-91.62835,57.56991167,0.025,0.025,2.5
M2-05,-142.35,79.91666667,0.025,0.025,2.5
M3 -05,-142.3635333,79.92861667,0.025,0.025,2.5
CA04-06,-133.6293667,71.08015,0.025,0.025,2.5
CA08-06,-126.0661167,71.01035,0.025,0.025,2.5
CA18-06,-122.99255,70.665125,0.025,0.025,2.5
BA01-06,-71.22714667,76.32824667,0.025,0.025,2.5
BA03-06,-77.41043,76.385945,0.025,0.025,2.5
AN01-06,-91.943815,59.97729517,0.025,0.025,2.5
AN01-06,-91.94371833,59.97719333,0.025,0.025,2.5
AN03-06,-77.92841,55.40731333,0.025,0.025,2.5
AN05-06,-92.41105,57.13361667,0.025,0.025,2.5
M2-06,-142.35,79.91666667,0.025,0.025,2.5
M3 -06,-142.3635333,79.92861667,0.025,0.025,2.5
CA04-07,-133.6351667,71.08123333,0.025,0.025,2.5
CA05-07,-127.6022917,71.31364333,0.025,0.025,2.5
CA05-MMP-07,-127.6351867,71.40327667,0.025,0.025,2.5
CA08-07,-126.0226715,71.05389317,0.025,0.025,2.5
CA16-07,-126.4929217,71.79035833,0.025,0.025,2.5
CA16-MMP-07,-126.50547,71.75344,0.025,0.025,2.5
CA18-07,-122.9910167,70.66607,0.025,0.025,2.5
AN01-07,-91.94236,59.97488,0.025,0.025,2.5
AN02-07,-91.52428167,58.784695,0.025,0.025,2.5
AN03-07,-77.93047167,55.40809667,0.025,0.025,2.5
AN04-07,-91.597,57.65566667,0.025,0.025,2.5
M2-07,-142.35,79.91666667,0.025,0.025,2.5
M3 -07,-142.32195,79.93515,0.025,0.025,2.5
M7-07,-31.18501667,81.66066667,0.025,0.025,2.5
M8-07,-138.7876333,80.78383333,0.025,0.025,2.5
M9-07,-161.26395,80.34883333,0.025,0.025,2.5
M10-07,-159.3334333,79.75678333,0.025,0.025,2.5
CA04-08,-133.629645,71.0814045,0.025,0.025,2.5
CA05-08,-127.5823733,71.31244667,0.025,0.025,2.5
